nuolus	loose
nuorra	jung
nuorra	young
nuorravuohta	youth
nuovve	Hanfabfall
nuppástus	change
nurrodat	youth
nuvsku	snuff
nuvzat	nag
nábár	Bohrer
nággu	Streit
nággu	Eigensinn
náhpe	Nabel
náhpol	penis
nállo	Nähnadel
náskál	Ahle
návrraš	turnip
náššon	nation
náššuvnnalaš	national
oabbá	sister
oaffaruššat	sacrifice
oahpaheaddji	teacher
oaidnemeahttun	invisible
oainnus	view
oaivil	opinion
oaivil	meaning
oaivveheapme	stupid
oaivvildit	suppose
oamedovdu	conscience
oamiráhkesvuohta	selfishness
oamivánhurskkis	selfrighteous
oapman	stove
oasti	buyer
oastin	purchase
oastit	buy
oađđit	sleep
oažži	flesh
oažži	musculature
ohcamuš	application
ohcu	search
okto	alone
olggos	out
olgogollát	hypocrite
olju	oil
olámuddu	reach
ore	stallion
ores	Männchen
ores	männlich
orgel	organ
ovcci	nine
ovccádassii	ninthly
ovdalgo	before
ovdamearka	example
ovddas	forward(s)
ovttas	together
ođasmuhttit	renew
peanna	pen
persovnnalaš	personal
plokket	plough
plásttar	plaster
pumpet	pump
páhkket	pack
pálbmamuorra	palm
pántet	distrain
pássa	passport
rampo	beröm
reahka	sleigh
reakči	dint
reavgit	belch
reavgut	belch
reaškkas	guffaw
reistát	try
reŋko	stool
ribon	ringworm
ridnu	contest
riebangolli	mica
riegádeapmi	birth
rievttuid	duly
rievttuid	rightly
riffal	pencil
riidet	ride
riifu	rake
rikkis	rich
rimsi	rag
rimsu	rag
rimški	rag
rista	cross
riđo	Sturm
rišša	sulphur
roahkki	hook
roggat	dig
rohccui	licentious
rohke	Roggen
rohtu	copsewood
romfa	trump
ropmivuohta	ugliness
rovvá	wife
rudnet	säga
ruhccái	uncleanly
ruhkku	jar
ruhta	Geld
rukko	Krug
ruktá	(window)pane
rulla	roller
rulla	reel
rullabora	wheelbarrow
rumaš	body
rumaš	corpse
ruohtas	root
ruoksat	red
ruoksi	udder
ruoktot	back
ruoná	green
ruoppas	scabby
ruossa	cross
ruossut	crosswise
ruosta	rust
ruosttas	rusty
ruovdi	iron
ruošša	Russian
ruoššalaš	Russian
ruoŧŧilaš	Swede
ruoŧŧilaš	Swedish
ruppal	ruble
russa	spirt
russat	spirt
russiinávlet	crucify
ruvvet	rub
ruvvet	scrape
ruvvet	massage
ruđaheapme	moneyless
ráddi	brand
rádjo	Mitgift
ráfálaččat	peacefully
ráfálaš	peaceful
ráhkan	cracking
ráhkan	crack
ráhkaniibi	razor
ráhket	shave
ráhkisvuohta	love
ráhkká	truss
ráhkot	krächzen
ráhppái	muddy
ráhput	scrape
ráhtat	rumble
ráhtat	rattle
ráhtis	wheel
ráidalas	ladder
ráinnas	clean
ráisku	rag
ráisku	drunkard
ráksá	Drüse
rámádus	praise
ránis	grey
rápmi	praise
rápmi	boasting
rássi	grass
rátká	Wacholder
ráva	admonition
ráva	instructions
rávrrabihkka	pitch
rávvehus	admonition
ráŋggáštit	punish
ráŋggáštus	punishment
sabit	ski
sajáiduvvat	stick
sakrameanta	sacrament
sapmat	snuffle
sarvva	Elch
sarvvajeagil	Cetraria
seaggi	thin
seaibbat	cattle
seaidni	wall
seaila	seal
seakkit	narrowly
seakti	bait
seaktut	bait
seammá	same
seamu	beard
seanas	trustful
searvegoddi	congregation
seavdnjat	dark
seavdnjat	incomprehensible
seavdnjat	darkness
seavla	sieve
seaŋga	bed
segohas	mixture
segohus	mixture
senet	mustard
septeamber	September
siellu	soul
siepman	seed
sievttas	bait
sihkor	chicory
sikta	sieve
silba	silver
silde	Hering
silki	silk
silkke	Seide
silli	strainer
sirdit	move
siskkáldasat	mutually
sivdnideapmi	creation
sivdnidupmi	creation
sivvat	careful
siŋka	zinc
skielgut	squint
skievttaheapme	careless
skiipa	ship
skillat	jingle
skoalta	skull
skoađas	panelling
skreaddár	tailor
skriidna	(money)box
skudnet	taunt
skuffa	drawer
skuohppu	case
skurbbet	scurvy
skuvla	school
skuvret	scour
skábe	cupboard
skádja	echo
skáhppa	cupboard
skáhppot	procure
skállat	clatter
skálžu	mussel
skánjas	shrill
skáđđá	loss
smarvi	curl
smarvvil	curled
smirezas	cud
smirezat	cud
smiđis	docile
smurta	blacking
smurtet	blacken
snuhrra	snoring
snuhrrat	snore
snuolga	snot
snáhki	(boat)stay
snáhppásit	smartly
snáhppásit	quickly
soabahit	reconcile
soabahit	settle
soabahus	atonement
soabbi	stick
soadjá	wing
soadjá	sleeve
soadjá	etc.
soahpameahttun	unfit
soahpameahttun	irreconcilable
soahpameahttunvuohta	disagreement
soahpameahttunvuohta	quarrel
soahttu	haycock
soaiggus	horrible
soalddát	soldier
soallun	toothpick
soalsái	slobbering
soatkat	knead
sodnját	droop
sohkar	sugar
sorrái	complicated
sotnabeaivi	Sunday
spatni	uvula
speaččas	slapping
spihkeguolli	spekefisk
spihtálaš	leprous
spihtáldávda	leprosy
spihčá	whip
spiikkár	nail
spižá	Pferdepeitsche
spulet	spool
spánska	Spanish
spártu	wart
spárvabeaŋka	lathe
stealli	(rock)edge
steamma	vote
stevnnet	summons
stielgudit	splint
stirrát	stare
stivát	dispute
stoalpu	post
stohppet	stop
stovla	chair
stuollu	chair
stuorasoahttu	storsåte
sturrodat	size
stuđeanta	student
stuđeret	study
stáhkká	haystack
stálli	steel
stálppe	Wolf
stávet	spell
stávval	syllable
stáđđi	anvil
stáđđásit	steadily
sudde	Fontanelle
suddo	Sünde
suddu	sin
sugadit	sway
sugus	swing
suhkat	row
suhkkol	shuttle
suhkká	swing
suhtas	angry
suhttu	anger
summá	sum
suohkku	stocking
suohkku	sock
suohpan	lasso
suoidnemánnu	July
suola	thief
suola	thievish
suolavuohta	theft
suolavuohta	thievishness
suolbmudit	digest
suollemas	secret
suollemasat	secretly
suorbma	finger
suorbma	toe
suovdi	gill
suovvadit	smoke
surbmi	grain
suruheapme	ungodly
suruheapme	unconverted
suvddá	soda
suvrris	sour
sábel	sword
sáhkkái	inquisitive
sáhppat	bluish
sáhtán	Satan
sáibu	soap
sáivadit	rinse
sálbma	psalm
sálket	empty
sálten	salting
sálti	salt
sálva	ointment
sálvu	wether
sápmelaš	Lapp
sáppát	Sabbath
sárdnut	speak
sártnodeapmi	conversation
sártnuhit	persuade
sátnelásku	proverb
sávvat	wünschen
sávza	sheep
sáđđu	husk
sáŋgár	hero
taga	without
teadja	tea
telegrámma	telegram
tempel	temple
tiidii	superstitious
toardna	tower
truvdnu	throne
tulján	foolish
tuljár	foolish
turkalaš	Turk
táhkkal	tackle
táhpa	loss
táhpet	lose
uhcimus	least
uhcimus	smallest
uhcit	less
ullo	Wolle
uminddet	inexperienced
unnit	less
urbmi	dispirited
urmáhkár	watchmaker
urra	cairn
ustitmeahttun	unfriendly
ustitvuohta	friendship
uvja	down
vahkku	week
vahátlaš	harmful
vajáldahttit	forget
vajálduhttit	forget
varas	fresh
varas	new
vardit	bleed
varra	blood
vađustit	fling
vašuhit	hate
vašálaš	hostile
vašálaš	enemy
veaddji	influential
veadjemeahttun	impossible
veahkkái	helpful
veahkkáivuohta	helpfulness
veahtit	bet
veahtu	bet
veahčir	hammer
veaiga	wraith
veaiki	copper
vealgi	debt
vealgi	credit
vealta	trump
veanzut	grimace
veara	worth
vearrut	wrongly
vearrámus	worst
veasta	vest
vejolaš	possible
vejolašvuohta	possibility
vejolašvuohta	opportunity
velggolaš	debtor
veltet	plough
viellja	Bruder
viellja	brother
vielppis	puppy
vieres	fremd
viežžat	fetch
vigálaš	guilty
vihtan	witness
vihtta	five
vihttu	cunnus
viinna	wine
vikša	hank
vispet	whisk
vispil	whisk
vispilastit	whisk
vissis	certain
vissis	definite
viste	Zimmer
viste	Stube
viđadassii	fifthly
viđat	fifth
vuhpon	glutton
vuhppolas	gluttonous
vuoddji	swimming
vuoddji	swimmer
vuodjan	swimming
vuodjat	swim
vuoi	damit
vuoigŋa	spirit
vuoigŋa	breath
vuoigŋat	breathe
vuoigŋašat	brain
vuoitemeahttun	invincible
vuoitemeahttun	unattainable
vuoiti	conqueror
vuoiti	winner
vuoivvas	liver
vuoivvasoažži	diaphragm
vuoiŋŋadit	rest
vuoiŋŋahat	breathing
vuoiŋŋalaš	spiritual
vuoiŋŋanas	breath
vuojahat	etc.
vuolahas	chip
vuolahas	shavings
vuolggahus	sending
vuolggahus	consignment
vuollat	plane
vuollin	down
vuoláš	saucer
vuoncávarris	cock
vuortnis	oath
vuossu	bellows
vuostehágolaš	refractory
vuostehágostit	resist
vuosteháhku	refractoriness
vuosteháhku	resistance
vuostá	etc.
vuostá	cheese
vuotna	fjord
vuotnalaš	lucky
vuovdde	Wald
vuovssanas	vomit
vádjitvuohta	poverty
váibbas	tired
váibmoláđis	merciful
váibmosuotna	artery
váibmu	heart
válddáhat	etc.
válga	election
válli	oath
válljejeaddji	elector
válljugas	excellent
váret	concern
várju	shroud
várra	care
várrehus	warning
várri	mountain
vársá	Fohlen
várve	lathe
vásedin	expressly
vástádus	answer
vátnivuohta	shortage
vávas	strange
vávvá	doll
ábiruvvá	mermaid
áddehahtti	comprehensible
áddemeahttun	incomprehensible
áddemeahttun	unwise
áddet	understand
áddjájit	slowly
áfi	sunburn
áhkká	wife
áhpásmahttojupmi	strengthening
áhčči	father
áibbas	quite
áibbas	too
áibmodutki	meteorologist
áiccahisvuohta	inadvertence
áidi	fence
áigejorggáldat	solstice
áigga	intention
áiggegollu	pastime
áiggálaš	temporal
áigi	time
áiru	Ruder
áiru	oar
áisá	Deichsel
áitit	threaten
áitta	threat
áktán	brace
ákšu	Axt
ákšu	axe
álbmot	people
álddagas	lightning
álddar	age
álddar	lifetime
álggahit	begin
állan	ell
állanaddat	rock
áltárguossi	communicant
ámadadju	face
ámta	county
ánssášit	deserve
ánsu	desert
ánuheaddji	begging
ánuheaddji	beggar
ápril	April
árbbolaš	heir
árbejeaddji	inheriting
árbejeaddji	heir
árbet	inherit
árbeváldi	heir
árbmugasat	mercifully
árga	weekday
árkkit	miserably
árpmitmeahttun	merciless
árpmot	careful
árpmuheapme	merciless
árvidahtti	comprehensible
árvu	Wert
árvu	Mass
ásat	gunwale
ásen	ass
ástandávda	paralysis
ávdugas	blessed
ávdugasvuohta	blessedness
ávgos	August
ávju	edge
ávkkálaš	useful
áŋkorastit	anchor
čagaldahkes	ticklish
čagalduhttit	tickle
čakča	autumn
čalbmi	eye
čalmmeheapme	blind
čađđa	charcoal
čearddalaš	national
čiekŋalit	thoroughly
čielggus	sober
čieŋal	deep
čieža	seven
čihkalas	blotch
čihččet	seventh
čitna	charcoal
čivhli	blotch
čivle	Warze
